time,open,high,low,close
1546291800,139.764,139.86,139.716,139.828
1546380000,139.828,139.851,139.695,139.822
1546381800,139.822,139.844,139.708,139.774
1546383600,139.774,139.915,139.76,139.883
1546385400,139.883,139.915,139.85,139.892
1546387200,139.892,139.892,139.674,139.69
1546389000,139.69,139.836,139.69,139.788
1546390800,139.788,139.802,139.714,139.786
1546392600,139.786,139.822,139.676,139.706
1546394400,139.706,139.706,139.364,139.396
1546396200,139.396,139.406,139.234,139.284
1546398000,139.284,139.312,139.217,139.244
1546399800,139.244,139.326,139.21,139.319
1546401600,139.319,139.336,139.225,139.256
1546403400,139.256,139.322,139.243,139.316
1546405200,139.316,139.454,139.308,139.428
1546407000,139.428,139.485,139.398,139.448
1546408800,139.448,139.493,139.366,139.376
1546410600,139.376,139.414,139.308,139.382
1546412400,139.382,139.442,139.298,139.356
1546414200,139.356,139.46,139.31,139.409
1546416000,139.409,139.47,138.83,138.842
1546417800,138.842,138.843,138.33,138.506
1546419600,138.506,138.569,138.196,138.2
1546421400,138.2,138.458,138.182,138.257
1546423200,138.257,138.416,138.164,138.24
1546425000,138.24,138.304,138.094,138.218
1546426800,138.218,138.324,138.21,138.276
1546428600,138.276,138.283,138.116,138.199
1546430400,138.199,138.372,138.183,138.216
1546432200,138.216,138.216,138.044,138.106
1546434000,138.106,138.146,137.448,137.588
1546435800,137.588,137.75,137.54,137.703
1546437600,137.703,137.862,137.633,137.704
1546439400,137.704,137.898,137.68,137.86
1546441200,137.86,138.05,137.801,137.944
1546443000,137.944,138.011,137.656,137.714
1546444800,137.714,137.899,137.515,137.582
1546446600,137.582,137.73,137.56,137.616
1546448400,137.616,137.734,137.573,137.661
1546450200,137.661,137.825,137.635,137.776
1546452000,137.776,137.866,137.74,137.847
1546453800,137.847,137.882,137.794,137.84
1546455600,137.84,137.84,137.692,137.732
1546457400,137.732,137.836,137.706,137.736
1546459200,137.736,137.74,137.524,137.685
1546461000,137.685,137.698,137.582,137.59
1546462800,137.59,137.624,137.558,137.604
1546464600,137.604,137.608,137.274,137.319
1546466400,137.319,137.319,136.859,136.859
1546468200,136.859,136.882,131.131,132.86
1546470000,132.86,134.878,132.86,134.878
1546471800,134.878,135.3,134.38,134.461
1546473600,134.461,135.258,134.461,135.095
1546475400,135.095,135.172,134.82,135.072
1546477200,135.072,135.242,134.906,134.91
1546479000,134.91,134.94,134.744,134.934
1546480800,134.934,134.937,134.729,134.792
1546482600,134.792,134.85,134.4,134.416
1546484400,134.416,134.502,134.282,134.486
